Year,MthAndYrCode,Trust,New_Hospital,Type,FourAndUnder_sum,FiveToTwelve_sum,OverTwelve_sum,Total_sum
2008/09,Apr-08,Belfast,Belfast City,Type 1,"3,391.00",473,1,"3,865.00"
2008/09,Apr-08,Belfast,Mater,Type 1,"3,142.00",486,0,"3,628.00"
2008/09,Apr-08,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"5,224.00",862,0,"6,086.00"
2008/09,Apr-08,Belfast,RBHSC,Type 1,"2,480.00",398,0,"2,878.00"
2008/09,Apr-08,Northern,Antrim Area,Type 1,"4,728.00",667,10,"5,405.00"
2008/09,Apr-08,Northern,Causeway,Type 1,"3,186.00",172,0,"3,358.00"
2008/09,Apr-08,Northern,Mid-Ulster,Type 2,"1,346.00",141,0,"1,487.00"
2008/09,Apr-08,Northern,Whiteabbey,Type 2,"1,813.00",4,0,"1,817.00"
2008/09,Apr-08,South Eastern,Ards MIU,Type 3,943,0,0,943
2008/09,Apr-08,South Eastern,Bangor MIU,Type 3,832,0,0,832
2008/09,Apr-08,South Eastern,Downe,Type 2,"1,974.00",88,0,"2,062.00"
2008/09,Apr-08,South Eastern,Lagan Valley,Type 2,"2,410.00",244,7,"2,661.00"
2008/09,Apr-08,South Eastern,Ulster,Type 1,"5,370.00",605,3,"5,978.00"
2008/09,Apr-08,Southern,Armagh Community,Type 3,790,0,0,790
2008/09,Apr-08,Southern,Craigavon Area,Type 1,"5,567.00",388,0,"5,955.00"
2008/09,Apr-08,Southern,Daisy Hill,Type 1,"2,773.00",113,0,"2,886.00"
2008/09,Apr-08,Southern,South Tyrone,Type 3,"1,332.00",0,0,"1,332.00"
2008/09,Apr-08,Western,Altnagelvin Area,Type 1,"3,571.00",459,0,"4,030.00"
2008/09,Apr-08,Western,South West Acute,Type 1,"1,922.00",26,0,"1,948.00"
2008/09,Apr-08,Western,Tyrone County,Type 2,"1,780.00",4,0,"1,784.00"
2008/09,May-08,Belfast,Belfast City,Type 1,"3,554.00",323,0,"3,877.00"
2008/09,May-08,Belfast,Mater,Type 1,"3,363.00",412,0,"3,775.00"
2008/09,May-08,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"5,067.00",896,0,"5,963.00"
2008/09,May-08,Belfast,RBHSC,Type 1,"2,674.00",260,0,"2,934.00"
2008/09,May-08,Northern,Antrim Area,Type 1,"5,239.00",630,0,"5,869.00"
2008/09,May-08,Northern,Causeway,Type 1,"3,688.00",155,0,"3,843.00"
2008/09,May-08,Northern,Mid-Ulster,Type 2,"1,563.00",85,0,"1,648.00"
2008/09,May-08,Northern,Whiteabbey,Type 2,"1,895.00",6,0,"1,901.00"
2008/09,May-08,South Eastern,Ards MIU,Type 3,924,0,0,924
2008/09,May-08,South Eastern,Bangor MIU,Type 3,"1,019.00",0,0,"1,019.00"
2008/09,May-08,South Eastern,Downe,Type 2,"2,010.00",158,0,"2,168.00"
2008/09,May-08,South Eastern,Lagan Valley,Type 2,"2,725.00",164,4,"2,893.00"
2008/09,May-08,South Eastern,Ulster,Type 1,"5,808.00",446,5,"6,259.00"
2008/09,May-08,Southern,Armagh Community,Type 3,771,0,0,771
2008/09,May-08,Southern,Craigavon Area,Type 1,"5,713.00",635,0,"6,348.00"
2008/09,May-08,Southern,Daisy Hill,Type 1,"3,085.00",104,0,"3,189.00"
2008/09,May-08,Southern,South Tyrone,Type 3,"1,572.00",0,0,"1,572.00"
2008/09,May-08,Western,Altnagelvin Area,Type 1,"3,927.00",609,2,"4,538.00"
2008/09,May-08,Western,South West Acute,Type 1,"2,078.00",42,1,"2,121.00"
2008/09,May-08,Western,Tyrone County,Type 2,"2,105.00",3,0,"2,108.00"
2008/09,Jun-08,Belfast,Belfast City,Type 1,"3,436.00",327,0,"3,763.00"
2008/09,Jun-08,Belfast,Mater,Type 1,"3,065.00",485,0,"3,550.00"
2008/09,Jun-08,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"4,662.00",955,1,"5,618.00"
2008/09,Jun-08,Belfast,RBHSC,Type 1,"2,465.00",239,0,"2,704.00"
2008/09,Jun-08,Northern,Antrim Area,Type 1,"4,785.00",807,1,"5,593.00"
2008/09,Jun-08,Northern,Causeway,Type 1,"3,249.00",276,1,"3,526.00"
2008/09,Jun-08,Northern,Mid-Ulster,Type 2,"1,508.00",31,0,"1,539.00"
2008/09,Jun-08,Northern,Whiteabbey,Type 2,"1,786.00",8,0,"1,794.00"
2008/09,Jun-08,South Eastern,Ards MIU,Type 3,850,0,0,850
2008/09,Jun-08,South Eastern,Bangor MIU,Type 3,881,0,0,881
2008/09,Jun-08,South Eastern,Downe,Type 2,"1,940.00",96,0,"2,036.00"
2008/09,Jun-08,South Eastern,Lagan Valley,Type 2,"2,591.00",95,0,"2,686.00"
2008/09,Jun-08,South Eastern,Ulster,Type 1,"5,656.00",430,1,"6,087.00"
2008/09,Jun-08,Southern,Armagh Community,Type 3,759,0,0,759
2008/09,Jun-08,Southern,Craigavon Area,Type 1,"5,604.00",432,0,"6,036.00"
2008/09,Jun-08,Southern,Daisy Hill,Type 1,"2,899.00",102,0,"3,001.00"
2008/09,Jun-08,Southern,South Tyrone,Type 3,"1,521.00",0,0,"1,521.00"
2008/09,Jun-08,Western,Altnagelvin Area,Type 1,"3,489.00",733,0,"4,222.00"
2008/09,Jun-08,Western,South West Acute,Type 1,"2,000.00",18,0,"2,018.00"
2008/09,Jun-08,Western,Tyrone County,Type 2,"1,953.00",2,0,"1,955.00"
2008/09,Jul-08,Belfast,Belfast City,Type 1,"3,403.00",328,1,"3,732.00"
2008/09,Jul-08,Belfast,Mater,Type 1,"2,966.00",390,0,"3,356.00"
2008/09,Jul-08,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"5,305.00",574,0,"5,879.00"
2008/09,Jul-08,Belfast,RBHSC,Type 1,"2,199.00",101,0,"2,300.00"
2008/09,Jul-08,Northern,Antrim Area,Type 1,"4,553.00",802,5,"5,360.00"
2008/09,Jul-08,Northern,Causeway,Type 1,"3,279.00",330,0,"3,609.00"
2008/09,Jul-08,Northern,Mid-Ulster,Type 2,"1,440.00",18,0,"1,458.00"
2008/09,Jul-08,Northern,Whiteabbey,Type 2,"1,581.00",6,0,"1,587.00"
2008/09,Jul-08,South Eastern,Ards MIU,Type 3,835,0,0,835
2008/09,Jul-08,South Eastern,Bangor MIU,Type 3,862,0,0,862
2008/09,Jul-08,South Eastern,Downe,Type 2,"1,885.00",83,0,"1,968.00"
2008/09,Jul-08,South Eastern,Lagan Valley,Type 2,"2,408.00",127,0,"2,535.00"
2008/09,Jul-08,South Eastern,Ulster,Type 1,"5,163.00",589,2,"5,754.00"
2008/09,Jul-08,Southern,Armagh Community,Type 3,664,0,0,664
2008/09,Jul-08,Southern,Craigavon Area,Type 1,"5,351.00",389,0,"5,740.00"
2008/09,Jul-08,Southern,Daisy Hill,Type 1,"2,804.00",138,0,"2,942.00"
2008/09,Jul-08,Southern,South Tyrone,Type 3,"1,314.00",0,0,"1,314.00"
2008/09,Jul-08,Western,Altnagelvin Area,Type 1,"3,619.00",526,0,"4,145.00"
2008/09,Jul-08,Western,South West Acute,Type 1,"2,048.00",35,0,"2,083.00"
2008/09,Jul-08,Western,Tyrone County,Type 2,"1,668.00",7,0,"1,675.00"
2008/09,Aug-08,Belfast,Belfast City,Type 1,"3,087.00",355,0,"3,442.00"
2008/09,Aug-08,Belfast,Mater,Type 1,"3,155.00",282,0,"3,437.00"
2008/09,Aug-08,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"4,707.00",415,0,"5,122.00"
2008/09,Aug-08,Belfast,RBHSC,Type 1,"1,959.00",140,0,"2,099.00"
2008/09,Aug-08,Northern,Antrim Area,Type 1,"4,286.00","1,032.00",0,"5,318.00"
2008/09,Aug-08,Northern,Causeway,Type 1,"3,388.00",324,0,"3,712.00"
2008/09,Aug-08,Northern,Mid-Ulster,Type 2,"1,485.00",11,0,"1,496.00"
2008/09,Aug-08,Northern,Whiteabbey,Type 2,"1,715.00",18,0,"1,733.00"
2008/09,Aug-08,South Eastern,Ards MIU,Type 3,756,0,0,756
2008/09,Aug-08,South Eastern,Bangor MIU,Type 3,890,0,0,890
2008/09,Aug-08,South Eastern,Downe,Type 2,"1,879.00",92,0,"1,971.00"
2008/09,Aug-08,South Eastern,Lagan Valley,Type 2,"2,494.00",110,0,"2,604.00"
2008/09,Aug-08,South Eastern,Ulster,Type 1,"5,317.00",512,3,"5,832.00"
2008/09,Aug-08,Southern,Armagh Community,Type 3,632,0,0,632
2008/09,Aug-08,Southern,Craigavon Area,Type 1,"5,254.00",326,0,"5,580.00"
2008/09,Aug-08,Southern,Daisy Hill,Type 1,"2,785.00",52,0,"2,837.00"
2008/09,Aug-08,Southern,South Tyrone,Type 3,"1,288.00",0,0,"1,288.00"
2008/09,Aug-08,Western,Altnagelvin Area,Type 1,"3,765.00",408,0,"4,173.00"
2008/09,Aug-08,Western,South West Acute,Type 1,"1,979.00",35,0,"2,014.00"
2008/09,Aug-08,Western,Tyrone County,Type 2,"1,794.00",3,0,"1,797.00"
2008/09,Sep-08,Belfast,Belfast City,Type 1,"3,376.00",335,0,"3,711.00"
2008/09,Sep-08,Belfast,Mater,Type 1,"2,996.00",536,0,"3,532.00"
2008/09,Sep-08,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"5,112.00",830,1,"5,943.00"
2008/09,Sep-08,Belfast,RBHSC,Type 1,"2,436.00",210,0,"2,646.00"
2008/09,Sep-08,Northern,Antrim Area,Type 1,"4,514.00",822,0,"5,336.00"
2008/09,Sep-08,Northern,Causeway,Type 1,"3,029.00",235,0,"3,264.00"
2008/09,Sep-08,Northern,Mid-Ulster,Type 2,"1,447.00",10,0,"1,457.00"
2008/09,Sep-08,Northern,Whiteabbey,Type 2,"1,840.00",10,0,"1,850.00"
2008/09,Sep-08,South Eastern,Ards MIU,Type 3,830,0,0,830
2008/09,Sep-08,South Eastern,Bangor MIU,Type 3,973,0,0,973
2008/09,Sep-08,South Eastern,Downe,Type 2,"1,755.00",82,0,"1,837.00"
2008/09,Sep-08,South Eastern,Lagan Valley,Type 2,"2,532.00",74,0,"2,606.00"
2008/09,Sep-08,South Eastern,Ulster,Type 1,"5,290.00",616,0,"5,906.00"
2008/09,Sep-08,Southern,Armagh Community,Type 3,686,0,0,686
2008/09,Sep-08,Southern,Craigavon Area,Type 1,"5,373.00",454,0,"5,827.00"
2008/09,Sep-08,Southern,Daisy Hill,Type 1,"2,705.00",100,0,"2,805.00"
2008/09,Sep-08,Southern,South Tyrone,Type 3,"1,308.00",0,0,"1,308.00"
2008/09,Sep-08,Western,Altnagelvin Area,Type 1,"3,819.00",571,0,"4,390.00"
2008/09,Sep-08,Western,South West Acute,Type 1,"1,849.00",30,0,"1,879.00"
2008/09,Sep-08,Western,Tyrone County,Type 2,"1,742.00",8,0,"1,750.00"
2008/09,Oct-08,Belfast,Belfast City,Type 1,"3,325.00",662,0,"3,987.00"
2008/09,Oct-08,Belfast,Mater,Type 1,"2,894.00",602,0,"3,496.00"
2008/09,Oct-08,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"4,975.00",800,0,"5,775.00"
2008/09,Oct-08,Belfast,RBHSC,Type 1,"2,172.00",345,0,"2,517.00"
2008/09,Oct-08,Northern,Antrim Area,Type 1,"4,472.00",908,0,"5,380.00"
2008/09,Oct-08,Northern,Causeway,Type 1,"2,858.00",272,0,"3,130.00"
2008/09,Oct-08,Northern,Mid-Ulster,Type 2,"1,484.00",25,0,"1,509.00"
2008/09,Oct-08,Northern,Whiteabbey,Type 2,"1,718.00",20,0,"1,738.00"
2008/09,Oct-08,South Eastern,Ards MIU,Type 3,785,0,0,785
2008/09,Oct-08,South Eastern,Bangor MIU,Type 3,986,0,0,986
2008/09,Oct-08,South Eastern,Downe,Type 2,"1,827.00",97,0,"1,924.00"
2008/09,Oct-08,South Eastern,Lagan Valley,Type 2,"2,624.00",94,0,"2,718.00"
2008/09,Oct-08,South Eastern,Ulster,Type 1,"5,089.00",896,38,"6,023.00"
2008/09,Oct-08,Southern,Armagh Community,Type 3,696,0,0,696
2008/09,Oct-08,Southern,Craigavon Area,Type 1,"5,335.00",361,0,"5,696.00"
2008/09,Oct-08,Southern,Daisy Hill,Type 1,"2,605.00",101,0,"2,706.00"
2008/09,Oct-08,Southern,South Tyrone,Type 3,"1,152.00",0,0,"1,152.00"
2008/09,Oct-08,Western,Altnagelvin Area,Type 1,"3,653.00",435,0,"4,088.00"
2008/09,Oct-08,Western,South West Acute,Type 1,"1,871.00",59,0,"1,930.00"
2008/09,Oct-08,Western,Tyrone County,Type 2,"1,668.00",2,0,"1,670.00"
2008/09,Nov-08,Belfast,Belfast City,Type 1,"2,888.00",838,5,"3,731.00"
2008/09,Nov-08,Belfast,Mater,Type 1,"2,563.00",715,0,"3,278.00"
2008/09,Nov-08,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"4,527.00","1,021.00",1,"5,549.00"
2008/09,Nov-08,Belfast,RBHSC,Type 1,"2,342.00",15,0,"2,357.00"
2008/09,Nov-08,Northern,Antrim Area,Type 1,"4,095.00","1,056.00",19,"5,170.00"
2008/09,Nov-08,Northern,Causeway,Type 1,"2,841.00",287,1,"3,129.00"
2008/09,Nov-08,Northern,Mid-Ulster,Type 2,"1,391.00",53,0,"1,444.00"
2008/09,Nov-08,Northern,Whiteabbey,Type 2,"1,647.00",43,0,"1,690.00"
2008/09,Nov-08,South Eastern,Ards MIU,Type 3,758,0,0,758
2008/09,Nov-08,South Eastern,Bangor MIU,Type 3,863,0,0,863
2008/09,Nov-08,South Eastern,Downe,Type 2,"1,736.00",74,0,"1,810.00"
2008/09,Nov-08,South Eastern,Lagan Valley,Type 2,"2,524.00",77,0,"2,601.00"
2008/09,Nov-08,South Eastern,Ulster,Type 1,"4,703.00","1,139.00",95,"5,937.00"
2008/09,Nov-08,Southern,Armagh Community,Type 3,613,0,0,613
